Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51078,8883,0,0,29200,40,0,0,0,0x40,0x1be9,0x5b5e,0x0002,0xef50
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51078,8883,0,0,29200,40,0,0,0,0x40,0x1bea,0x5b5d,0x0002,0xe77c
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51078,8883,0,0,29200,40,0,0,0,0x40,0x1beb,0x5b5c,0x0002,0xd7d4
filtered_pcap\TCP_Miscellaneous,153,20,64,6,54031,443,1,1,7264,32,101,1,0,0x40,0x7397,0xbf99,0x0018,0x5697
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,102,86,7264,32,0,1,0,0x40,0x7398,0xbffd,0x0010,0x151c
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,102,187,7264,32,0,1,0,0x40,0x7399,0xbffc,0x0010,0xf72e
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,102,187,7264,32,85,1,0,0x40,0x739a,0xbfa6,0x0018,0xa809
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30bb,0x468c,0x0002,0x8a05
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30bc,0x468b,0x0002,0x8810
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30bd,0x468a,0x0002,0x8426
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30be,0x4689,0x0002,0x7c50
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30bf,0x4688,0x0002,0x6ca8
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,187,288,7264,32,85,1,0,0x40,0x739b,0xbfa5,0x0018,0xe136
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51080,8883,0,0,29200,40,0,2,0,0x40,0x30c0,0x4687,0x0002,0x4d60
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51082,8883,0,0,29200,40,0,3,0,0x40,0x030f,0x7438,0x0002,0xb4d5
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51082,8883,0,0,29200,40,0,3,0,0x40,0x0310,0x7437,0x0002,0xb2e0
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51082,8883,0,0,29200,40,0,3,0,0x40,0x0311,0x7436,0x0002,0xaef6
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51082,8883,0,0,29200,40,0,3,0,0x40,0x0312,0x7435,0x0002,0xa722
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51082,8883,0,0,29200,40,0,3,0,0x40,0x0313,0x7434,0x0002,0x977a
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,272,389,7264,32,85,1,0,0x40,0x739c,0xbfa4,0x0018,0x0685
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54a,0xb1fc,0x0002,0x212f
filtered_pcap\TCP_Miscellaneous,153,20,64,6,54031,443,357,389,7264,32,101,1,0,0x40,0x739d,0xbf93,0x0018,0xbecb
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,458,474,7264,32,0,1,0,0x40,0x739e,0xbff7,0x0010,0xcfea
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54b,0xb1fb,0x0002,0x1f3a
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54c,0xb1fa,0x0002,0x1b51
filtered_pcap\TCP_Miscellaneous,87,20,64,6,54244,443,1,1,3632,32,35,5,0,0x40,0xa433,0xa850,0x0018,0xe514
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54244,443,36,32,3632,32,0,5,0,0x40,0xa434,0xa872,0x0010,0x60f4
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54d,0xb1f9,0x0002,0x137d
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54e,0xb1f8,0x0002,0x03d1
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,458,575,7264,32,0,1,0,0x40,0x739f,0xbff6,0x0010,0x718a
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,458,575,7264,32,85,1,0,0x40,0x73a0,0xbfa0,0x0018,0x2750
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51084,8883,0,0,29200,40,0,4,0,0x40,0xc54f,0xb1f7,0x0002,0xe480
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51086,8883,0,0,29200,40,0,6,0,0x40,0x6001,0x1746,0x0002,0x0abf
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51086,8883,0,0,29200,40,0,6,0,0x40,0x6002,0x1745,0x0002,0x08ca
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51086,8883,0,0,29200,40,0,6,0,0x40,0x6003,0x1744,0x0002,0x04df
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51086,8883,0,0,29200,40,0,6,0,0x40,0x6004,0x1743,0x0002,0xfd0a
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51086,8883,0,0,29200,40,0,6,0,0x40,0x6005,0x1742,0x0002,0xed5e
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,543,676,7264,32,85,1,0,0x40,0x73a1,0xbf9f,0x0018,0x66fd
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1e6,0x9560,0x0002,0x99ca
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1e7,0x955f,0x0002,0x97d5
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1e8,0x955e,0x0002,0x93eb
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1e9,0x955d,0x0002,0x8c17
filtered_pcap\TCP_Miscellaneous,153,20,64,6,54031,443,628,676,7264,32,101,1,0,0x40,0x73a2,0xbf8e,0x0018,0xdacd
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,729,761,7264,32,0,1,0,0x40,0x73a3,0xbff2,0x0010,0x8b77
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1ea,0x955c,0x0002,0x7c6f
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54031,443,729,862,7264,32,0,1,0,0x40,0x73a4,0xbff1,0x0010,0x6d89
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,729,862,7264,32,85,1,0,0x40,0x73a5,0xbf9b,0x0018,0x84a1
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51088,8883,0,0,29200,40,0,7,0,0x40,0xe1eb,0x955b,0x0002,0x5d1f
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51090,8883,0,0,29200,40,0,8,0,0x40,0x9098,0xe6ae,0x0002,0x2bc7
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51090,8883,0,0,29200,40,0,8,0,0x40,0x9099,0xe6ad,0x0002,0x29d2
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51090,8883,0,0,29200,40,0,8,0,0x40,0x909a,0xe6ac,0x0002,0x25e9
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51090,8883,0,0,29200,40,0,8,0,0x40,0x909b,0xe6ab,0x0002,0x1e15
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,814,963,7264,32,85,1,0,0x40,0x73a6,0xbf9a,0x0018,0xc33e
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51090,8883,0,0,29200,40,0,8,0,0x40,0x909c,0xe6aa,0x0002,0x0e6d
filtered_pcap\TCP_Miscellaneous,87,20,64,6,54244,443,36,32,3632,32,35,5,0,0x40,0xa435,0xa84e,0x0018,0xd98b
filtered_pcap\TCP_Miscellaneous,52,20,64,6,54244,443,71,63,3632,32,0,5,0,0x40,0xa436,0xa870,0x0010,0x761d
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51092,8883,0,0,29200,40,0,9,0,0x40,0xda82,0x9cc4,0x0002,0xc9f1
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51092,8883,0,0,29200,40,0,9,0,0x40,0xda83,0x9cc3,0x0002,0xc7fc
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51092,8883,0,0,29200,40,0,9,0,0x40,0xda84,0x9cc2,0x0002,0xc412
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51092,8883,0,0,29200,40,0,9,0,0x40,0xda85,0x9cc1,0x0002,0xbc3e
filtered_pcap\TCP_Miscellaneous,137,20,64,6,54031,443,899,1064,7264,32,85,1,0,0x40,0x73a7,0xbf99,0x0018,0x32cd
filtered_pcap\TCP_Miscellaneous,60,20,64,6,51092,8883,0,0,29200,40,0,9,0,0x40,0xda86,0x9cc0,0x0002,0xac96
